old_path,new_path,status
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20232954434.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202329544.34.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20232954441.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202329544.41.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233014535.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330145.35.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233014536.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330145.36.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233014538.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330145.38.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233082238.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330822.38.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233082241.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330822.41.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233082246.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330822.46.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233082247.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330822.47.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233082267.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330822.67.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233082249.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202330822.49.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233148227.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202331482.27.svs,RENAMED
/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/20233148240.svs,/NAS145/linboliao/Data/迈新生物/MIL外部测试/省立医院/202331482.40.svs,RENAMED
